f22d1tn9;rasvahappo 22:1 trans n-9;fi
f22d1t;rasvahappoisomeerit 22:1;fi
f22d1;rasvahappo 22:1;fi
f22d1cis;rasvahappo 22:1 cis;fi
f22d1n7;rasvahappo 22:1 n-7;fi
f22d1n9;rasvahappo 22:1 n-9;fi
f22d1n11;rasvahappo 22:1 n-11;fi
f24d1;rasvahappo 24:1;fi
f24d1n9;rasvahappo 24:1 n-9;fi
f16d2;rasvahappo 16:2;fi
f16d3;rasvahappo 16:3;fi
f16d4;rasvahappo 16:4;fi
f18d2con;rasvahappo 18:2 konjugoitu;fi
f18d2iso;rasvahappo 18:2 iso;fi
f18d2cis;rasvahapoisomeerit 18:2 cis;fi
f18d2cn6;rasvahappo 18:2 cis,cis n-6 (linolihappo);fi
f18d2;rasvahappo 18:2;fi
f18d3;rasvahappo 18:3;fi
f18d4;rasvahappo 18.4;fi
f18d3n3;rasvahappo 18:3 n-3 (alfalinoleenihappo);fi
f18d3n6;rasvahappo 18:3 n-6 (gla, gammalinoleenihappo);fi
f18d4n3;rasvahappo 18:4 n-3;fi
f20d2cis;rasvahappo 20:2 cis;fi
f20d2n6;rasvahappo 20:2 n-6;fi
f20d3n3;rasvahappo 20:3 n-3;fi
f20d3n6;rasvahappo 20:3 n-6;fi
f20d4n3;rasvahappo 20:4 n-3;fi
f20d4n6;rasvahappo 20:4 n-6 (arakidonihappo);fi
f20d5n3;rasvahappo 20:5 n-3 (epa);fi
f20d5n6;rasvahappo 20:5 n-6;fi
f20d2;rasvahappo 20:2;fi
f20d3;rasvahappo 20:3;fi
f20d4;rasvahappo 20:4;fi
f20d5;rasvahappo 20:5 (eikosapentaeenihappo);fi
f21d5n3;rasvahappo 21:5 n-3;fi
f22d2n6;rasvahappo 22:2 n-6;fi
f22d3n3;rasvahappo 22:3 n-3;fi
f22d4n3;rasvahappo 22:4 n-3;fi
f22d4n6;rasvahappo 22:4 n-6;fi
f22d5n3;rasvahappo 22:5 n-3 (dpa);fi
f22d5n6;rasvahapppo 22:5 n-6;fi
f22d6n3;rasvahappo 22:6 n-3 (dha);fi
f22d2;rasvahappo 22:2;fi
f22d4;rasvahappo 22:4;fi
f22d5;rasvahappo 22:5 (dokosapentaeenihappo);fi
f22d6;rasvahappo 22:6 (dokosaheksaeenihappo);fi
f22dun;rasvahappo 22;fi
f24dxn3;rasvahappo 24:x n-3;fi
f16d1trs;rasvahappo 16:1 trans;fi
f18d1tn;rasvahappo 18:1 trans;fi
f18d2tn;rasvahappo 18:2 trans;fi
f18d2tri;rasvahappoisomeerit 18:2 tri;fi
f18d3tn;rasvahappo 18:3 trans;fi
f20d1tn;rasvahappo 20:1 trans;fi
f20d2tn;rasvahappo 20:2 trans;fi
f22d1tn;rasvahappo 22:1 trans;fi
f16d1;rasvahappo 16:1 (palmitoleiinihappo);fi
f16dun;rasvahappo 16;fi
fapucxr;rasvahapot cis monityydyttymättömät muut;fi
chole;kolesteroli (gc);fi
chorl;kolesteroli (entsymaattinen menetelmä);fi
stert;sterolit;fi
avedt;avenasteroli, yhteensä;fi
brastr;brassikasteroli;fi
camt;kampesteroli;fi
sitstr;sitosteroli;fi
steroth;sterolit, muut;fi
stgstr;stigmasteroli;fi
stantot;stanolit yhteensä;fi
nitra;nitraatti;fi
nitri;nitriitti;fi
cinnac;kanelihappo;fi
citac;sitruunahappo;fi
lacac;maitohappo;fi
malac;omenahappo;fi
aceac;etikkahappo;fi
benzac;p-hydroksibentsoehappo;fi
ferac;ferulahappo;fi
gallac;gallihappo;fi
mispheac;muut fenolihapot;fi
parcoum;parakumariinihappo;fi
pheac;fenolihapot, yhteensä;fi
procatac;protokatekuhappo;fi
sinapac;sinapiinihappo;fi
syrac;syringiinihappo;fi
vanac;vanilliinihappo;fi
taur;tauriini;fi
ala;alaniini;fi
arg;arginiini;fi
asnasp;asparagiini + asparagiinihappo;fi
asn;asparagiini;fi
cyste;kysteiini;fi
glnglu;glutamiini + glutamiinihappo;fi
gln;glutamiini;fi
gly;glysiini;fi
his;histidiini;fi
ile;isoleusiini;fi
leu;leusiini;fi
lys;lysiini;fi
met;metioniini;fi
metx;metioniini (ekt hydrolyysi);fi
phe;fenyylialaniini;fi
pro;proliini;fi
ser;seriini;fi
trp;tryptofaani;fi
tyr;tyrosiini;fi
val;valiini;fi
betatn;betaiini;fi
cholnt;koliini, yhteensä;fi
edictyol;eriodiktioli;fi
epikatek;epikatekiini;fi
hesper;hesperetiini;fi
isorham;isorhamnetin;fi
kaemph;kamferoli;fi
katek;katekiini;fi
luteol;luteoliini;fi
myric;myrisetiini;fi
naringe;naringeniini;fi
querce;kversetiini;fi
biocha;biokaniini a;fi
formo;formononetiini;fi
genist;genisteiini;fi
lignans;lignaanit;fi
secores;sekoisolarisiresinoli;fi
alkresor;alkyyliresorsinolit;fi
anthocyt;antosyanidiinit, yhteensä;fi
avanthra;avenantramidit;fi
cyanid;syanidiini;fi
delphin;delfinidiini;fi
elgtann;ellagitanniinit;fi
malvid;malvidiini;fi
pa4to6;proantosyanidiini 4-6-meerit;fi
pa7to10;proantosyanidiini 7-10-meerit;fi
pabound;proantosyanidit sitoutuneet;fi
padime;proantosyandiinidimeerit;fi
pamono;proantosyanidiinimonomeerit;fi
papolym;proantosyanopolymeerit;fi
patri;proantosyanidiniinitrimeerit;fi
pelargon;pelargonidiini;fi
peonid;peonidiini;fi
petun;petunidiini;fi
proantct;proantosyanidit yhteensä;fi
caffn;kofeiini;fi
cadavt;kadaveriini;fi
histn;histamiini;fi
phetn;fenyylietyyliamiini;fi
putrsc;putreskiini;fi
rafs;raffinoosi;fi
serotn;serotoniini;fi
sperdn;spermidiini;fi
spern;spermiini;fi
tocpht;tokoferolit yhteensä;fi
tres;trehaloosi;fi
trypn;tryptamiini;fi
tyra;tyramiini;fi
thscode;suomi;fi
