565;rasvaseos 40 %, kevyt levi, vähemmän suolaa, vl;fi
568;margariini 60 %, rainbow/pirkka/eldorado/k-menu;fi
570;rasvaseos 40 %, kevyt levi, vl;fi
572;(arc) margariini 40%, lätta;fi
576;voi, suolaton;fi
578;majoneesi, rasvaa 27-33 %;fi
579;salaatinkastike, rasvaa <17 %, vähärasvainen;fi
585;voi, voimakassuolainen;fi
586;(arc) rasvaseos 80 %, voimakassuolainen;fi
593;leivontamargariini 80 %, pirkka/rainbow;fi
597;rasvaseoslevite 75 %, tuotekeskiarvo;fi
598;voiöljy 100 %, maitorasvaa;fi
599;(arc) kasvirasvalevite 32%, benecol kevyt;fi
600;maito, tilamaito, raakamaito, rasvaa 4,4 %, ei lisätty d-vitamiinia;fi
602;ternimaito;fi
604;maito, kutunmaito, vuohenmaito;fi
606;maito, rasvaton, d-vitamiinia 1 ug;fi
611;piimä, talouspiimä, rasvaa 0,8 %;fi
612;piimä, rasvaton, d-vit 1 ug;fi
613;piimä, kirnupiimä;fi
615;kermaviili, rasvaa 10-12 %;fi
616;piimä, asidofiluspiimä, rasvaa 2,5 %, d-vit 1 ug, probiootteja;fi
617;viili, maustamaton, rasvaa 3,5 %;fi
618;viili, maustamaton, kevytviili, rasvaa 2,5 %;fi
619;jogurtti, maustamaton, rasvaa 2,5 %, vl;fi
620;jogurtti, maustamaton, bulgarian, rasvaa 3,9%;fi
622;rahka, maitorahka, maustamaton, rasvaa <0,5 %;fi
627;maito, ykkösmaito, d-vitamiinia 1 ug;fi
628;creme fraiche, ranskankerma, rasvaa 28 %;fi
629;kerma, vispikerma, rasvaa 38 % ,vl, iskukuumennettu;fi
630;smetana, rasvaa n. 40 %;fi
631;kerma, kuohukerma, rasvaa 38 %;fi
632;ruoanvalmistuskerma, rasvaa 19 %, kahvikerma;fi
633;kerma, kahvikerma, kevyt, rasvaa 10 %, vl;fi
635;raejuusto, rasvaton, vl;fi
636;viili, kerrosviili, maustettu hillolla, ykkösviili, rasvaa 1 %, vl;fi
637;jogurtti, maustamaton, rasvaton, vl, d-vit 0,5 ug;fi
639;jogurtti, maustettu, rasvaton;fi
640;juusto, valkohomejuusto, rasvaa 26-30 %, camembert/brie;fi
641;juusto, kermajuusto, rasvaa 30 %, turunmaa/oltermanni/korsholm/masurkka;fi
642;juusto, emmentaljuusto, rasvaa 27-30 %, punaleima;fi
643;juusto, kova pienikoloinen juusto, rasvaa 24-27 %, edam;fi
644;juusto, puolikova juusto, rasvaa 9-11 %, kevyt, edam/kadett;fi
645;juusto, kutunjuusto, vuohenjuusto, rasvaa 30 %, kova juusto;fi
647;sulatejuusto, rasvaa 20-24 %, keskirasvainen;fi
648;sulatejuusto, rasvaa 27-35 %, runsasrasvainen;fi
649;raejuusto, rasvaa 2-5 %;fi
650;tuorejuusto, kotijuusto, rasvaa 9-14 %, maalaisjuusto;fi
653;juusto, sinihomejuusto, rasvaa 27-30 %, aura/danazole, keskiarvo;fi
654;juusto, gouda, keskiarvo, rasvaa 28-30 %;fi
